Sentence	label
@Nandi Parthasarathi ಲೆ ಮುಂಡೆ ಇಲ್ಲಿ ಕೇಳು ನಿಮ್ಮ ಬಾಸ್ ಯಾವಾಗ್ಲಾದ್ರೂ help ಮಾಡಿದನಾ.... ಹೋಗ್ಲಿ ನಿಂಗೆ ಹೊಸ ಕಾಂಡೊಮ್ ಆದ್ರೂ ಕೊಡ್ಸಿದಾನ... ಲುಚ್ಚಾ ಸುದ್ವೇಪಿ	Not-Hope
#DBOSS  ದರ್ಶನ್ ಅಣ್ಣನ ಅಭಿಮಾನಿಗಳ ಕಡೆ ಇಂದ All the best	Not-Hope
E video na unlike madoru nijavaglu kannads davaru ala	Not-Hope
@bindugowda  blast full	Not-Hope
@TROLL MONSTER_KANNADA nandini anta balegarana fan iddane nodo aa sulemagnig baiyi tika urkondu hontara hadsimakllu 1 year 3 blockbuster DBoss	Not-Hope
E bindu gowda en hucchu ididhia antha	Not-Hope
Nambike eruvavaru nodi	Not-Hope
Sari guru nan Rc nodod irli ninu illi bandiro cmnts nodu ninge gotthagutthe	Not-Hope
Mam osm mam ninu	Not-Hope
@venu gopal kabja release aagli inge support madthivi ..... but Nw it's ASN time .....	Not-Hope
@Arun Jaanu  chikk magunu kelu boss andre yaaru anta	Not-Hope
Jaathigalu ee deshada belavanigege athi dodda thodakaagide.	Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೋ ಅವತಾರ 🤩🤩🤩	Hope
ಸುಮಾರು ೨೪-೨೫ ವರ್ಷದ ಹಿಂದೆ ಕ್ಯಾಸೆಟ್ ಮೂಲಕ ಕೇಳಿದ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯಿದು. ಇಂದಿಗೂ ಅದೇ ನಗು	Not-Hope
Deserves more views.	Not-Hope
ಕೊಳ್ಳುತ್ತಿರುವ ಕೊಬ್ಬರಿ ಮಿಥೈ ಮುಖದವಳು nnಚೆನ್ನಾಗಿ ಬೈತೀರಾ ಸರ್	Hope
Best song I have heard after belagenddu	Not-Hope
Super song love u	Hope
Rakshit .....rock yaar	Not-Hope
Guru super yage yeldhe	Not-Hope
ವಿಜಯ್ ಪ್ರಕಾಶ್ ಸರ್ Voice	Hope
Mini shankar nag	Not-Hope
super super super song...	Not-Hope
Spr song	Not-Hope
Super Jai D.Boss	Not-Hope
smile madalu nodi joking vdo	Not-Hope
Channag ugide bro	Not-Hope
Lifestyle super guru	Not-Hope
18min agidde gottaglilla	Not-Hope
Yappa bhaya agutte	Not-Hope
sir yarige yaru agolla appa amma Na biture Sir olle mathugallu	Hope
ಕೇಳಿ ಕಾದಿರುವ ಭಾ೦ದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ..nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ..nತೀರ ಹಠ..nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nnಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnnಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಇದೆ ವೇದಾಂತ..!nnಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ..nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ..nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ..nಯುಧ್ಧ ಮಾಡಬೇಕು	Hope
Dislike madiru Yarantha gotthanBurnel kodro avrige...	Not-Hope
Promotion heg madodo anta kaliri	Not-Hope
Super film  srimannarayana	Not-Hope
nim taste gottaythu.. nthaavu dandupalya-5 ge wait maadta idiri alva	Not-Hope
Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I	Not-Hope
YouTube subscriber at list 5lack kooda Ella yelli reach agutte T series nalli bittidre 10m agirodu avraddu tappu	Not-Hope
Yavano avnu sade nan maga tiktok eno kitthakide anthane.. Modlu tilkondu maathado... Bro next video aaa sade nan magan mele maadi...its  request plz bro.. And loved ur video	Not-Hope
@Shashank Raj ninu thika muchho lo yeno artha aythu ninge ಕಾಮೆಂಟ್ಸ್ ಓದೋದು ಕಲಿ 🤣🤣	Not-Hope
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Not-Hope
Tiktok ಮಾಡೋರನ್ನ ಇಂಡಿಯಾ ಗಡಿ ಗೆ ತಗೊಂಡುಹೋಗಿ ಬಿಟ್ರೆ ಗೊತಾಗುತ್ತೆ ಅವಾಗ	Not-Hope
4 ಜನ ಇರುವ ಈ ಸಿನಿಮಾ ..4 ಕೋಟಿ ಕನ್ನಡ ಸಿನಿಮಾ ಪ್ರೇಕ್ಷಕರಿಗೆ ತಲುಪಲಿ ...ದೀಯಾ ಸಿನಿಮಾ ಅದ್ಬುತವಾಗಿದೆ ...	Hope
ಎಷ್ಟ್  ಜನ  ASN ಸಿನಿಮಾ ನೋಡಿದ್ದೀರಾ ಹೇಳಿ  nಜೈ ಕನ್ನಡ	Not-Hope
@Sujan Tejas gssgssiweg	Not-Hope
Jai Jawan Jai hind	Not-Hope
Making super sir	Hope
Spirit of kannada	Not-Hope
Likes goskara yaakro prathi video nallu d boss fans	Not-Hope
Yava game bro edu	Not-Hope
Song ista adaro illi like madi	Hope
Super rakshit Shetty	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಸಿನಿಮಾn1st day 1st show  booked	Hope
ಸೂಪರ್ ಗುರು ಲೋವ್ ಯು	Not-Hope
Nkana nava gothala issur hudugaru	Hope
Game name yavdu bro...	Not-Hope
@Vinay Kumar MS nenu Kano tukali avn alla	Not-Hope
Super Rakshit sir super super song super	Not-Hope
En song ide	Not-Hope
ಸರ್.. ನೀವು ಕೊನೆಯಲ್ಲಿ ಹೇಳಿರುವ ಮಾತು ಸೂಪರ್ ಸರ್...	Hope
ಸೂಪರ್ ಹೊಸ ಪ್ರಯತ್ನ	Hope
Back burn rashmika	Not-Hope
Super Anna jai hind	Not-Hope
Film yavaga release?	Not-Hope
Kannada na ond range ge tagond hogide rakshit ravara e film opkoloru like here	Not-Hope
ಆ ಬಂದುಕಿಗೆ ಇದೆ ಘನ ಹೆಸರು..	Not-Hope
Rakshit Shetty fans like here	Not-Hope
Shaata  ivrnella borderg kalsbeku gotagutte	Not-Hope
Yakri janagalna dari tapso kelsa madtira	Not-Hope
Illi neevu aa hesaranna heLohagoo ilvalla.48 beka bitti thinno baayiglu ottigr barathve.modalu lancha hogbeku	Not-Hope
Promotion madilla guru adke jana bandilla.	Not-Hope
ಚೀನಾ ಎಷ್ಟೇ ಮುಂದುವರೆದಿದ್ದರೂ ಅದು ಅನ್ಯದೇಶವೇ ಹೊರತು ನಮ್ಮ ದೇಶವಾಗುವುದಿಲ್ಲ. ಅವರನ್ನು ಹೊಗಳಿ ನಮ್ಮನ್ನು ತೆಗಳಿ ಯಾವುದೇ ಪ್ರಯೋಜನವಿಲ್ಲ. ನಾವು ಪ್ರಜೆಗಳಾಗಿ ಯಾವರೀತಿ ನಡೆದರೆ ದೇಶವನ್ನು ಮುನ್ನಡೆಸಲು ಸಾಧ್ಯ ಎಂದು ನಮ್ಮಲ್ಲಿ ಅರಿವು ಮೂಡಿಸುವ ಸಂಘಟನೆ ಅತ್ಯಗತ್ಯ. ಮೋದಿ ಸ್ವಚ್ಛ ಭಾರತ ಅಭಿಯಾನವನ್ನು ಆಡಿಕೊಂಡು ಹಂಗಿಸಿದವರೆ‌ ಹೆಚ್ಚು. ಸ್ವಚ್ಛ ಭಾರತವನ್ನು ಮೋದಿ ಮಾಡುವುದಲ್ಲ ಬದಲಾಗಿ ಅದು ದೇಶದ ನಾಗರೀಕರ ಕರ್ತವ್ಯ ಎಂದು ಒಬ್ಬರಿಗೂ ಅನಿಸಲಿಲ್ಲ. ಈಗಲೂ ಮೋದಿ ಏತಿ ಎಂದರೆ‌ ಅಲ್ಲ ಪ್ರೇತಿ ಎನ್ನುವ ಜನರಿದ್ದಾರೆ.   ಯಾವುದೇ ಒಳ್ಳೆಯ ಕೆಲಸಕ್ಕೆ ಕಾಲೆಳೆಯುವ ಜನರು ದೇಶದಲ್ಲಿ ತುಂಬಿ ತುಳುಕುತ್ತಿದ್ದಾರೆ. ದೇಶ ದ್ರೋಹಿಗಳನ್ನು ಬೆಂಬಲಿಸುವ	Not-Hope
ossam..slow poison kanro	Not-Hope
ನಿಮಗೆ ಒಳ್ಳೇದು ಆಗಲಿ ಸುದೀಪಣ್ಣ ಅಭಿಮಾನಿಗಳು	Hope
Idu charithre srustiso avathaaaara.....	Hope
@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs munde gottagutte	Not-Hope
@Yashas Cp pakka	Not-Hope
Amazing song	Not-Hope
Super Kannada film industry changing	Hope
Nane nam vasthu pradashnke bandidru gotha	Not-Hope
Trending list gaagi wait maadtiror like	Not-Hope
Sandalwoodnalli  dhamaka mado avatara start agalide.	Not-Hope
Nagaraj h Jagavar a	Not-Hope
ನಿಮ್ಮ ಸ್ವಾಭಿಮಾನದ ಜೀವನಕ್ಕೆ Hats off	Hope
ಸೂಪರ್... ಜಂಟಲ್ ಮ್ಯಾನ್..... All the best	Hope
you are correct bro..	Hope
ನಿಜವಾದ ಕನ್ನಡಿಗ ಅಂದ್ರೆ ನೀನೆ ಗುರು. I love ur videos and i love my ಕನ್ನಡ ಗುರು	Hope
Nija guru ..... Aa takattu nam industry Alli yargu Ella....	Not-Hope
Super song guru..	Hope
ಇಂತಹ ಅದ್ಭುತ ಸಿನಿಮಾಯಳು ಮತ್ತು ಹಾಡುಗಳು ಕನ್ನಡದಲ್ಲಿ ಹೆಚ್ಚು ಹೆಚ್ಚು ಬರಲಿ  ಎಂದು ಎಲ್ಲರೂ ಹಾರೈಸೊಣ	Hope
ಹಾಡಿನ ಬರವಣಿಗೆ ತುಂಬಾನೇ ಚೆನ್ನಾಗಿದೆ  nಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೋ ಅವತಾರ	Hope
Bro ninna uru yavdu	Hope
Why only tik tok ಅನ್ನೋ ತುಕಾಲಿ ನ ಚೈನಾ ಗೆ ಕಳಿಸಿ ಅವ್ಳು ಕೂಡ ಚೈನೀಸ್ ಬ್ರೀಡ್ ಇರ್ಬೇಕು	Not-Hope
Super togari tippa	Hope
ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಮಾಡಿದಿರ ಆದರೆ ಒಳ್ಳೆ promation ಯಾಕೆ ಮಾಡ್ತಾಇಲ್ಲ	Not-Hope
Jai d bosss	Hope
ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ASN	Not-Hope
ಎಲ್ಲಿಂದನೋ ಕದ್ದಿರೋ ಹಾಗಿದೆ...🤔🤔	Not-Hope
Avlu lofar .....nan sister Diya papa amezon a to z super next relece I m going	Not-Hope
D bosss fans kade inda all the best prajju	Not-Hope
ನಿಜವಾದ ಸಾಧಕರು. ಕಾಯಕವೇ ಕೈಲಾಸ	Hope
ASN > KGF	Not-Hope
Ashwath avrne noddag aythu.	Hope
En helde guru it's true	Not-Hope
Mass video music link send	Not-Hope
Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration	Hope
Hand's up	Not-Hope
@prithvi nayak ನಿಮ್ಮ ಅಮ್ಮ ಕಂಡೋರಿಗೆ ಹಡಿಲಿ	Not-Hope
It deserves more like.....	Not-Hope
Pakka movie channagirutte..nN suspense movie for sure	Not-Hope
Oooo bindu aunty Nin badukbeka tik tok delete maduu	Hope
@Mithun KUDLA Kannadadalli nodi... Kannada version views jaasti maadi...	Not-Hope
Hing dance madidre ..... mugitu kathe....	Not-Hope
thogari tippa super	Hope
Yapppaaaa!  Yak guru istond hype e song ge?	Not-Hope
Super song guru	Not-Hope
Neen super guru🤩🤣	Not-Hope
Super song and super singer sir	Not-Hope
Divakar gee saryag ugdidhiraa.. 🤣🤣lob u broo	Not-Hope
@10 R hogi ballegaarnn tunne unn... Aa balegaaran bhikshe majestic cinema nim dBabes ge .. Nim amma majestic Sule ansuthe adkke isht harkottiddiya bewarsi sulemundemagane... Nin ammana Kellu Nene hege malgisi keydiddini anta ...	Not-Hope
@Raja Vishnuvardhana yarge agli 1st respect kododu mukya	Not-Hope
@Nandi Parthasarathi	Not-Hope
ದಿಯಾ ನೀವು ಸೋಷಿಯಲ್ ಮೀಡಿಯಾ ಅಲ್ಲಿ ಕಾಣ್ತಿಲ್ಲ.nದಯವಿಟ್ಟು ಪ್ರತಿಕ್ರಿಯಿಸಿ	Not-Hope
Hats off to u sir...nMosa madi tinno Pizzaginta Niyattagi dudidu tinno ragi nalli eshto aanda erutte jeevandalli..	Hope
Bro super aagi Ode kottidiya manga nann makkalige...	Not-Hope
Super bro nim song	Not-Hope
@Saathwik H R aadru avrige loss illa bron production house avru cleanaagi agreement maadkobeku alvaaa brooooo.....	Not-Hope
Neevenu promotion maadilla andru Kannada dalli navu guarantee nodtivi........north Alli promote madrappa .......Valle market idae Alli enta films gae ........madrappa 50 crore plus  min collection agutte	Hope
Nijavaglu Satya sir	Not-Hope
Togari tippa togari tippa.....sathvik sobarad	Not-Hope
@anirudh 8 mostly avru Ee film nalli iddare anusutte	Not-Hope
Yakappa yenaytu.. movie swalpa length jasti adre movie chennagide.	Not-Hope
@Praveen M V	Not-Hope
Alagi hogali bidu	Not-Hope
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Not-Hope
Nim mane ge banadhu ellva ..	Not-Hope
Pakka 100 days movie  edu.	Hope
Trueley fact true man love you sir	Hope
Guru I like u	Hope
Big star agbitte u	Not-Hope
waw spr sir	Hope
Edu charitre srushtisuva avataara🤨	Hope
I am kiccha fans super song	Not-Hope
Hats off to News channel .nಅದ್ಭುತವಾದ ವ್ಯಕ್ತಿಯನ್ನು ಪರಿಚಯಿಸಿದ್ದಕ್ಕೆ.	Not-Hope
Super Bhai   nice comments  nSuper voice Anna nedu	Not-Hope
ಸು0ದರವಾದ ಬದುಕು ನಿಮ್ಮಿoದ ಕಲಿಬೇಕು 🤷‍	Hope
ನನಗೆ ಇಷ್ಟವಾದ ಕಥೆ ತೊಗರಿ ತಿಪ್ಪ	Hope
Nice music sir	Hope
Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi	Not-Hope
En chindi bgm guru sakkath....Jai ASN... from Appu abhimani	Not-Hope
3 days ಇಂದ ನಂ 1 ಟ್ರೆಂಡಿಂಗ್ ಲ್ಲಿ ಇದೆ.ಅದು ಹೇಗೆ ಬರಿ 1.5 m views ತೊರಸ್ತಿದೆ.	Not-Hope
ಸಾಂಗ್ ಸಂಗೀತ ಲಿರಿಕ್ಸ್ ಡಾನ್ಸ್ ವಾಯ್ಸ್ ಹಿಟ್ ಸಾಂಗ್ ಲವ್ ಯು ವಿಜಯ್ ಪ್ರಕಾಶ್  ಸರ್..... Your voice is verry attractive......	Hope
ಸೂಪರ್  ಬ್ರದರ್	Hope
Super bro	Hope
Bro super	Hope
Idu charitre srutsiro song	Not-Hope
Please support prajakiya	Not-Hope
@king k 9880823640.....ಇದು ನನ್ನ ಫೋನ್ ನಂಬರ್....ನಿನ್ನ ಎಲ್ಲ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವೆ	Not-Hope
Burade guru idhella. Solpa nambo thara kathe  katti.	Not-Hope
@Rajesh Rao en maadodu asht bejaar aagide....ond olle cinema hesr maadlilvalla anta...bejar maadkobedi	Hope
@Abhilash Gowda neen anbeda bidolo	Not-Hope
jai d boss	Not-Hope
Super age ede	Not-Hope
ತೊಗರಿತಿಪ್ಪನ  ದ್ರಟ್ಸಾಂತ  ಕೆಳಿದರೆ   ಸಂತೊಷವೆ  ಸಂತೊಷ	Hope
Super sir	Hope
Nan yavathu youtube video na like kuda madila but comment madidini so.....	Not-Hope
Give link to that pandi kokku song ....	Not-Hope
Guru sakathage helde....nin superb. ...superb ashte	Hope
@Nandi Parthasarathi ನಿನ್ ammun	Not-Hope
En song guruve I love this song K G F bitre ede super movie guru.......super	Hope
@tej bangalore yavano ninu le	Not-Hope
@Troll Stupid Fans nin Amman thullu sulemagne gaandu nayi sulemakla mucchkondiro Nim Amman thullu GE devegowda du halasiro thunni hakbeku rande soole magne nayisulemagne kachada byavarsi soole rande magne nayisulemaga nim appa chaappar nan maga sulemaga	Not-Hope
S bro Niv helid nija	Not-Hope
@Krishna Tirividi yes support all kannada cinema	Not-Hope
Namganthu tik tok ban aagiddu tumba kushi	Not-Hope
Haaa nivu super bro i am big fan your voice  ....	Hope
Dislike madiroru pakka Rashmikha Kadeyavare	Not-Hope
ಕೇಳಲು ಇಷ್ಟ ಆದರೆ ಇದು ನಿಜ ಅಲ್ಲ ಅನಿಸುತ್ತೆ...ನನ್ನ ಪ್ರಕಾರ	Hope
Nikistark x promotion chennagi idrunu bere language ge jaathi priority kodtare....nam state li kannada movie ge support madalla distributors..	Hope
tugari thjppa super	Hope
ನಮ್ಮ ದೇಶದಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷಗಳ ಕಿತ್ತಾಟ ಜಾಸ್ತಿ. ದೇಶಕ್ಕೆ ಅವಶ್ಯಕತೆ ಇರುವ ಅಭಿವೃದ್ಧಿ ಕೆಲಸ ಮಾಡಲೂ ಹೊರಟಾಗ ಇದರಲ್ಲಿ ಏನು ಭ್ರಷ್ಟಾಚಾರ ಇದೆ ಅನ್ನೊಂದು.... ಹಾಗೇಯೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ದೇಶದ ಅಭಿವೃದ್ಧಿಗಿಂತ  ವೈಯಕ್ತಿಕ ಅಭಿವೃದ್ಧಿ ಮಾಡಿಕೊಳ್ಳುವ ವರೆ ಜಾಸ್ತಿ( ಭ್ರಷ್ಟಾಚಾರ) ಮಿತಿ ಮೀರಿದೆ.. ತಂತ್ರಜ್ಞಾನದ ಕೊರತೆ ಕೂಡ ಇದೆ. ಮೊದಲು ನಮ್ಮಲ್ಲಿ ಇರುವ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಿಕೊಡರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿಯೇ ನಮಗೆ ಬೇಕಾದ ಅಗತ್ಯ ವಸ್ತುಗಳ ತಯಾರಿಕಾ ಕಂಪನಿಗಳು ಸ್ಥಾಪಿಸಬಹುದು....nಧನ್ಯವಾದಗಳು ಅಣ್ಣ	Not-Hope
1.3k unlikes madiruvavru rashmika fans irbahoda 🤔 super song shetre slow poison song	Not-Hope
ನಮ್ಮ ಬಾಸ್ ವಿಷ್ಣುವರ್ಧನ್ ಅವರಿಗೆ ಒಂದು ದಿನ ಪರಸ್ಥಿತಿ ಬಂದಿತ್ತು ಅವರ ಚಿತ್ರಗಳ ಸತತವಾಗಿ ಸೋಲುನ್ನು ಕಂಡವು ಮನೆಯಲ್ಲಿ ಹೇಳಿದರಂತೆ ನನಗೆ ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ನಾನು ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ಡ್ರೈವಿಂರಾಗಿ ಸೇರುತ್ತೇನೆ ಅಂದರು	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಕಮೆಂಟು..	Hope
3 days n1.6M viewsn 5.6 commentsnTrending no.1n.🤔🤔🤔	Not-Hope
Shetru birthday party dina haadiro haadu aawaginindaa wait maadtide.....	Not-Hope
Karnataka janeteinda all the best movie ge olledagali🥰🥰	Hope
@naveen v nin Amman thullu sulemagne	Not-Hope
Good job shivu	Not-Hope
VPN hakondu tiktok use madtidare nam soldier sattirodu lekkka ellla janakkke	Not-Hope
ಕಣ್ಣೀರು ಹಾಕಿರುವ ಕಾರಣ ತಂದೆಯ ನೆನೆಪು ಅವರು ಕಷ್ಟ ಕಾಲದಲ್ಲಿ ಮಗನ ಬೆಂಗಾವಲಾಗಿ ನಿಂತಿದ್ದಕ್ಕೆ.ಇದನ್ನು ಕೆಲವರು ಅಪಾರ್ಥ ಕಲ್ಪಿಸಿಕೊಂಡಿದ್ದಾರೆ.	Hope
@Reginald Kelly Kannada da bagge sumne matadidre(includes people too) adu namgu naatutte	Not-Hope
Spr song bro	Hope
@Nandi Parthasarathi hahaha	Hope
@Sudeep K N ಹೌದು ಹುಲಿಯ ಜೈ ಹುಚ್ಚಾ ವೆಂಕಟ ಸೇನೆ.......	Not-Hope
@Vijay Prasad yen yogyathey. Chappar. 3000 gintha hechchu cinema nodidheeni naanu. Nann abipraya kotrey yeno boli magane muddhey thinna louda. nThooo!!	Not-Hope
Well msg guru	Not-Hope
Bapu Biradar t	Hope
ಮಧ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಕೂಡ ಓರ್ವ ಮಹಿಳೆಗೆ  ಮಹಾಭಾರತದ ಅಶ್ವತ್ಥಾಮ ಎಂದು ಪರಿಚಯ ಮಾಡಿಕೊಂಡು ಮತ್ತು ಅವಳಿಗೆ ಮಹಾಭಾರತದ ಸನ್ನಿವೇಶಗಳ ವಿಡಿಯೋವನ್ನು ಆ ಮಹಿಳೆಯ ಮನೆ ಗೋಡೆ ಮೇಲೆ ಮಹಾಭಾರತದ ದೃಶ್ಯಗಳನ್ನು ಬರುವ ಹಾಗೆ ಮಾಡಿದ್ದನಂತೆ ಹಾಗೂ ಅವಳಲ್ಲಿ ನೀನು ಯಾರಿಗೆ ಹೇಳದೇ   nಈ ದೃಶ್ಯ ನೋಡಬಹುದು. n     ಇಲ್ಲವಾದಲ್ಲಿ ಹೇಳಿದರೆ ಈ ದೃಶ್ಯ ಕಾಣುವುದಿಲ್ಲ. nಆದ್ದರಿಂದ ನೀನು ನನ್ನ ಮಾತಿನಂತೆ ನಡೆಯಬೇಕು ಎಂದು ವಚನ ತೆಗೆದುಕೊಂಡು ಅಲ್ಲಿಂದ ಅದೃಶ್ಯವಾಗಿದ್ದಾನಂತೆ. .....!	Hope
En guru edu song super	Hope
Hahah baari guru	Hope
ದರ್ಶನ್ ಸರ್ ನಾವು ನಿಮ್ಮ ಅಭಿಮಾನಿಗಳು ನಮ್ಮ ಕಲಾವಿದರು ಈ ರೀತಿ ಕಷ್ಟ ಪಡೋದು ನಮಗೆ ಮನಸ್ಸಿಗೆ ತುಂಬಾ ನೋವಾಗುತ್ತೆ ನೀವು ದಯವಿಟ್ಟು ಇಂಥ ಮಹಾನ್ ಕಲಾವಿದರನ್ನು ತಮ್ಮ ಜೊತೆ ಕರೆದುಕೊಂಡು ನಡೆಯಿರಿ ಅಭಿಮಾನಿ ಅಭಿಮಾನಿಗಳಿಗೆ ಕೊಡುವ ದೊಡ್ಡ ಉಡುಗೊರೆ ನಿಮ್ಮಿಂದ ನಾವು ನಾ ಬಯಸುತ್ತೇವೆ	Hope
Hands up 🤗	Not-Hope
Namm uttar karnataka style..... nMastha Mastha huliii	Not-Hope
Why does it sound like 'swag se karenge sab ka swagat'? Otherwise it's awesome	Not-Hope
E song super and handsome step super annowru like madi	Not-Hope
ಹೌದು. ನಾವು ಸಣ್ಣವರಿದ್ದಾಗ.ಕೆಳಿದ್ದಿವಿ.ಸುಪರ್	Not-Hope
Dislikers==Dagar Rashmika fan	Not-Hope
Illa guru.. Ashwatama na.. Bhaashe ivrige. Barutte ansutte....	Not-Hope
Super nivheliddu nija	Hope
Chinndikanna neenu neenu nam tharane madthadthiya. Super	Not-Hope
ನಾನು ತುಂಬಾ ಚಿಕ್ಕವನಿದ್ದಾಗಲೂ ನಾನು ಶಂಭು ಬಳಿಗಾರ ರವರ ಅಭಿಮಾನಿ...ಈಗಲೂ ಇವರ ಧ್ವನಿಯಲ್ಲಿ ಕಥೆ ಕೇಳಿ...25 ವರ್ಷಗಳ ಹಿಂದೆ ಕರೆದೊಯ್ದು.. ಬಿಟ್ಟರು ನಮ್ಮನ್ನು	Hope
ಸರ್ ನೀವು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಅರ್ಥ ಮಾಡ್ಸಿದಿರಿ ಆದ್ರೆ ನೀವು ಬರಿ ರಾಜಕೀಯದ್ದೇ 24 ಗಂಟೆ ತೋರಿಸ್ಥಿರೀ....ಅವರನ್ನ ಬಿಟ್ಟು ನಮ್ಮ್ ದೇಶದ  ರೈತರ ಬಗ್ಗೆ ಯೋಧರ ಬಗ್ಗೆ  ತಂತ್ರಜ್ಞಾನ ಮುಖಾಂತರ ನಮ್ಮ್ ದೇಶ ಉತ್ತಮ ಗೊಳ್ಳಬೇಕು ಅದನ್ನ ದಿನಾಲು ತೋರ್ಸಿ  ಆಗ ಮಾತ್ರ ನಮ್ ಜನಗಳು ಬಾದ್ಲ್ಆಗ್ತಾರೆ...	Not-Hope
Anna thamma janpada super	Hope
Diya na Rakshit shetti  na belsona	Not-Hope
Song lyrics in kannada n	Not-Hope
@Mr goodboy Swami	Not-Hope
No.. 1 sec saku summe mnt ella waste madtara	Not-Hope
ಸಿನಿಮಾ ಅದ್ಭುತ	Hope
Marethidhru iga merili	Not-Hope
ಬಹಳ ಕ್ಯೂರಿಯಾಸಿಟಿ ಇರೋ ಹಾಗಿದೆ ಚಿತ್ರವನ್ನು ನೋಡಲು ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೆನೇ	Hope
ಕಲರ್ ಫುಲ್ ಆಗಿದೆ	Hope
Super guru Ella record break made madtira guru nivu i love sir	Hope
ಕನ್ನಡವನ್ನು ಇನ್ನೊಂದು ಹಂತಕ್ಕೆ ಕೊಂಡೊಯ್ಯುವುದರಲ್ಲಿ ಸಂದೇಹವೇ ಇಲ್ಲ...nರಶ್ಮಿಕ ಕಕ್ಕ ಅವರೇ ನೋಡಿ ಉರ್ಕೊಳ್ಳಿ	Hope
@Manjunath mtr tq bro	Not-Hope
Super comment guru	Not-Hope
Super song amazing lyrics	Hope
Super agi akidya guru step Nange eshta aithu dance nimge eshta aitha friends n	Not-Hope
Raktha rathri yakshagana nodi maryare	Not-Hope
