,Sentence,label
2664,Best song I have heard after belagenddu,Not-Hope
4480,Super song love u,Hope
2808,Rakshit .....rock yaar,Not-Hope
7037,Guru super yage yeldhe,Not-Hope
1638,ವಿಜಯ್ ಪ್ರಕಾಶ್ ಸರ್ Voice,Hope
3071,Mini shankar nag,Not-Hope
5691,super super super song...,Not-Hope
5372,Spr song,Not-Hope
1540,Super Jai D.Boss,Not-Hope
7139,smile madalu nodi joking vdo,Not-Hope
6151,Channag ugide bro,Not-Hope
635,Lifestyle super guru,Not-Hope
1791,18min agidde gottaglilla,Not-Hope
3903,Yappa bhaya agutte,Not-Hope
4224,sir yarige yaru agolla appa amma Na biture Sir olle mathugallu,Hope
7224,ಕೇಳಿ ಕಾದಿರುವ ಭಾ೦ದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ..nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ..nತೀರ ಹಠ..nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nnಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnnಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಇದೆ ವೇದಾಂತ..!nnಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ..nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ..nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ..nಯುಧ್ಧ ಮಾಡಬೇಕು,Hope
1360,Dislike madiru Yarantha gotthanBurnel kodro avrige...,Not-Hope
3477,Promotion heg madodo anta kaliri,Not-Hope
5786,Super film  srimannarayana,Not-Hope
3912,nim taste gottaythu.. nthaavu dandupalya-5 ge wait maadta idiri alva,Not-Hope
1809,Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I,Not-Hope
2895,YouTube subscriber at list 5lack kooda Ella yelli reach agutte T series nalli bittidre 10m agirodu avraddu tappu,Not-Hope
5363,Yavano avnu sade nan maga tiktok eno kitthakide anthane.. Modlu tilkondu maathado... Bro next video aaa sade nan magan mele maadi...its  request plz bro.. And loved ur video,Not-Hope
5254,@Shashank Raj ninu thika muchho lo yeno artha aythu ninge ಕಾಮೆಂಟ್ಸ್ ಓದೋದು ಕಲಿ 🤣🤣,Not-Hope
5859,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
5301,Tiktok ಮಾಡೋರನ್ನ ಇಂಡಿಯಾ ಗಡಿ ಗೆ ತಗೊಂಡುಹೋಗಿ ಬಿಟ್ರೆ ಗೊತಾಗುತ್ತೆ ಅವಾಗ,Not-Hope
6449,4 ಜನ ಇರುವ ಈ ಸಿನಿಮಾ ..4 ಕೋಟಿ ಕನ್ನಡ ಸಿನಿಮಾ ಪ್ರೇಕ್ಷಕರಿಗೆ ತಲುಪಲಿ ...ದೀಯಾ ಸಿನಿಮಾ ಅದ್ಬುತವಾಗಿದೆ ...,Hope
1908,ಎಷ್ಟ್  ಜನ  ASN ಸಿನಿಮಾ ನೋಡಿದ್ದೀರಾ ಹೇಳಿ  nಜೈ ಕನ್ನಡ,Not-Hope
4001,@Sujan Tejas gssgssiweg,Not-Hope
5321,Jai Jawan Jai hind,Not-Hope
2479,Making super sir,Hope
5719,Spirit of kannada,Not-Hope
3943,Likes goskara yaakro prathi video nallu d boss fans,Not-Hope
3708,Yava game bro edu,Not-Hope
6079,Song ista adaro illi like madi,Hope
5704,Super rakshit Shetty,Not-Hope
4797,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಸಿನಿಮಾn1st day 1st show  booked,Hope
6,ಸೂಪರ್ ಗುರು ಲೋವ್ ಯು,Not-Hope
3058,Nkana nava gothala issur hudugaru,Hope
944,Game name yavdu bro...,Not-Hope
2403,@Vinay Kumar MS nenu Kano tukali avn alla,Not-Hope
4838,Super Rakshit sir super super song super,Not-Hope
6930,En song ide,Not-Hope
4262,ಸರ್.. ನೀವು ಕೊನೆಯಲ್ಲಿ ಹೇಳಿರುವ ಮಾತು ಸೂಪರ್ ಸರ್...,Hope
5792,ಸೂಪರ್ ಹೊಸ ಪ್ರಯತ್ನ,Hope
4888,Back burn rashmika,Not-Hope
3197,Super Anna jai hind,Not-Hope
4536,Film yavaga release?,Not-Hope
6926,Kannada na ond range ge tagond hogide rakshit ravara e film opkoloru like here,Not-Hope
1372,ಆ ಬಂದುಕಿಗೆ ಇದೆ ಘನ ಹೆಸರು..,Not-Hope
4856,Rakshit Shetty fans like here,Not-Hope
2740,Shaata  ivrnella borderg kalsbeku gotagutte,Not-Hope
1876,Yakri janagalna dari tapso kelsa madtira,Not-Hope
5610,Illi neevu aa hesaranna heLohagoo ilvalla.48 beka bitti thinno baayiglu ottigr barathve.modalu lancha hogbeku,Not-Hope
2346,Promotion madilla guru adke jana bandilla.,Not-Hope
4409,ಚೀನಾ ಎಷ್ಟೇ ಮುಂದುವರೆದಿದ್ದರೂ ಅದು ಅನ್ಯದೇಶವೇ ಹೊರತು ನಮ್ಮ ದೇಶವಾಗುವುದಿಲ್ಲ. ಅವರನ್ನು ಹೊಗಳಿ ನಮ್ಮನ್ನು ತೆಗಳಿ ಯಾವುದೇ ಪ್ರಯೋಜನವಿಲ್ಲ. ನಾವು ಪ್ರಜೆಗಳಾಗಿ ಯಾವರೀತಿ ನಡೆದರೆ ದೇಶವನ್ನು ಮುನ್ನಡೆಸಲು ಸಾಧ್ಯ ಎಂದು ನಮ್ಮಲ್ಲಿ ಅರಿವು ಮೂಡಿಸುವ ಸಂಘಟನೆ ಅತ್ಯಗತ್ಯ. ಮೋದಿ ಸ್ವಚ್ಛ ಭಾರತ ಅಭಿಯಾನವನ್ನು ಆಡಿಕೊಂಡು ಹಂಗಿಸಿದವರೆ‌ ಹೆಚ್ಚು. ಸ್ವಚ್ಛ ಭಾರತವನ್ನು ಮೋದಿ ಮಾಡುವುದಲ್ಲ ಬದಲಾಗಿ ಅದು ದೇಶದ ನಾಗರೀಕರ ಕರ್ತವ್ಯ ಎಂದು ಒಬ್ಬರಿಗೂ ಅನಿಸಲಿಲ್ಲ. ಈಗಲೂ ಮೋದಿ ಏತಿ ಎಂದರೆ‌ ಅಲ್ಲ ಪ್ರೇತಿ ಎನ್ನುವ ಜನರಿದ್ದಾರೆ.   ಯಾವುದೇ ಒಳ್ಳೆಯ ಕೆಲಸಕ್ಕೆ ಕಾಲೆಳೆಯುವ ಜನರು ದೇಶದಲ್ಲಿ ತುಂಬಿ ತುಳುಕುತ್ತಿದ್ದಾರೆ. ದೇಶ ದ್ರೋಹಿಗಳನ್ನು ಬೆಂಬಲಿಸುವ,Not-Hope
2489,ossam..slow poison kanro,Not-Hope
5945,ನಿಮಗೆ ಒಳ್ಳೇದು ಆಗಲಿ ಸುದೀಪಣ್ಣ ಅಭಿಮಾನಿಗಳು,Hope
5403,Idu charithre srustiso avathaaaara.....,Hope
3290,@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs munde gottagutte,Not-Hope
3021,@Yashas Cp pakka,Not-Hope
3572,Amazing song,Not-Hope
1472,Super Kannada film industry changing,Hope
1861,Nane nam vasthu pradashnke bandidru gotha,Not-Hope
4051,Trending list gaagi wait maadtiror like,Not-Hope
6819,Sandalwoodnalli  dhamaka mado avatara start agalide.,Not-Hope
5805,Nagaraj h Jagavar a,Not-Hope
4176,ನಿಮ್ಮ ಸ್ವಾಭಿಮಾನದ ಜೀವನಕ್ಕೆ Hats off,Hope
316,ಸೂಪರ್... ಜಂಟಲ್ ಮ್ಯಾನ್..... All the best,Hope
6976,you are correct bro..,Hope
50,ನಿಜವಾದ ಕನ್ನಡಿಗ ಅಂದ್ರೆ ನೀನೆ ಗುರು. I love ur videos and i love my ಕನ್ನಡ ಗುರು,Hope
776,Nija guru ..... Aa takattu nam industry Alli yargu Ella....,Not-Hope
1615,Super song guru..,Hope
5738,ಇಂತಹ ಅದ್ಭುತ ಸಿನಿಮಾಯಳು ಮತ್ತು ಹಾಡುಗಳು ಕನ್ನಡದಲ್ಲಿ ಹೆಚ್ಚು ಹೆಚ್ಚು ಬರಲಿ  ಎಂದು ಎಲ್ಲರೂ ಹಾರೈಸೊಣ,Hope
7349,ಹಾಡಿನ ಬರವಣಿಗೆ ತುಂಬಾನೇ ಚೆನ್ನಾಗಿದೆ  nಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೋ ಅವತಾರ,Hope
6762,Bro ninna uru yavdu,Hope
2781,Why only tik tok ಅನ್ನೋ ತುಕಾಲಿ ನ ಚೈನಾ ಗೆ ಕಳಿಸಿ ಅವ್ಳು ಕೂಡ ಚೈನೀಸ್ ಬ್ರೀಡ್ ಇರ್ಬೇಕು,Not-Hope
5157,Super togari tippa,Hope
381,ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಮಾಡಿದಿರ ಆದರೆ ಒಳ್ಳೆ promation ಯಾಕೆ ಮಾಡ್ತಾಇಲ್ಲ,Not-Hope
1430,Jai d bosss,Hope
2804,ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ASN,Not-Hope
5943,ಎಲ್ಲಿಂದನೋ ಕದ್ದಿರೋ ಹಾಗಿದೆ...🤔🤔,Not-Hope
2393,Avlu lofar .....nan sister Diya papa amezon a to z super next relece I m going,Not-Hope
560,D bosss fans kade inda all the best prajju,Not-Hope
2133,ನಿಜವಾದ ಸಾಧಕರು. ಕಾಯಕವೇ ಕೈಲಾಸ,Hope
2050,ASN > KGF,Not-Hope
4106,Ashwath avrne noddag aythu.,Hope
3350,En helde guru it's true,Not-Hope
3845,Mass video music link send,Not-Hope
6553,Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration,Hope
1973,Hand's up,Not-Hope
3397,@prithvi nayak ನಿಮ್ಮ ಅಮ್ಮ ಕಂಡೋರಿಗೆ ಹಡಿಲಿ,Not-Hope
4563,It deserves more like.....,Not-Hope
302,Pakka movie channagirutte..nN suspense movie for sure,Not-Hope
1207,Oooo bindu aunty Nin badukbeka tik tok delete maduu,Hope
1675,@Mithun KUDLA Kannadadalli nodi... Kannada version views jaasti maadi...,Not-Hope
5699,Hing dance madidre ..... mugitu kathe....,Not-Hope
4993,thogari tippa super,Hope
2290,Yapppaaaa!  Yak guru istond hype e song ge?,Not-Hope
3077,Super song guru,Not-Hope
6159,Neen super guru🤩🤣,Not-Hope
4700,Super song and super singer sir,Not-Hope
1259,Divakar gee saryag ugdidhiraa.. 🤣🤣lob u broo,Not-Hope
2234,@10 R hogi ballegaarnn tunne unn... Aa balegaaran bhikshe majestic cinema nim dBabes ge .. Nim amma majestic Sule ansuthe adkke isht harkottiddiya bewarsi sulemundemagane... Nin ammana Kellu Nene hege malgisi keydiddini anta ...,Not-Hope
2563,@Raja Vishnuvardhana yarge agli 1st respect kododu mukya,Not-Hope
3338,@Nandi Parthasarathi,Not-Hope
470,ದಿಯಾ ನೀವು ಸೋಷಿಯಲ್ ಮೀಡಿಯಾ ಅಲ್ಲಿ ಕಾಣ್ತಿಲ್ಲ.nದಯವಿಟ್ಟು ಪ್ರತಿಕ್ರಿಯಿಸಿ,Not-Hope
4269,Hats off to u sir...nMosa madi tinno Pizzaginta Niyattagi dudidu tinno ragi nalli eshto aanda erutte jeevandalli..,Hope
5498,Bro super aagi Ode kottidiya manga nann makkalige...,Not-Hope
3850,Super bro nim song,Not-Hope
3007,@Saathwik H R aadru avrige loss illa bron production house avru cleanaagi agreement maadkobeku alvaaa brooooo.....,Not-Hope
2215,Neevenu promotion maadilla andru Kannada dalli navu guarantee nodtivi........north Alli promote madrappa .......Valle market idae Alli enta films gae ........madrappa 50 crore plus  min collection agutte,Hope
6787,Nijavaglu Satya sir,Not-Hope
4304,Togari tippa togari tippa.....sathvik sobarad,Not-Hope
5387,@anirudh 8 mostly avru Ee film nalli iddare anusutte,Not-Hope
5784,Yakappa yenaytu.. movie swalpa length jasti adre movie chennagide.,Not-Hope
6117,@Praveen M V,Not-Hope
3720,Alagi hogali bidu,Not-Hope
4893,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
3553,Nim mane ge banadhu ellva ..,Not-Hope
7306,Pakka 100 days movie  edu.,Hope
2142,Trueley fact true man love you sir,Hope
6266,Guru I like u,Hope
3045,Big star agbitte u,Not-Hope
1757,waw spr sir,Hope
191,Edu charitre srushtisuva avataara🤨,Hope
1140,I am kiccha fans super song,Not-Hope
6564,Hats off to News channel .nಅದ್ಭುತವಾದ ವ್ಯಕ್ತಿಯನ್ನು ಪರಿಚಯಿಸಿದ್ದಕ್ಕೆ.,Not-Hope
3746,Super Bhai   nice comments  nSuper voice Anna nedu,Not-Hope
6534,ಸು0ದರವಾದ ಬದುಕು ನಿಮ್ಮಿoದ ಕಲಿಬೇಕು 🤷‍,Hope
4366,ನನಗೆ ಇಷ್ಟವಾದ ಕಥೆ ತೊಗರಿ ತಿಪ್ಪ,Hope
2415,Nice music sir,Hope
5716,Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi,Not-Hope
6909,En chindi bgm guru sakkath....Jai ASN... from Appu abhimani,Not-Hope
2505,3 days ಇಂದ ನಂ 1 ಟ್ರೆಂಡಿಂಗ್ ಲ್ಲಿ ಇದೆ.ಅದು ಹೇಗೆ ಬರಿ 1.5 m views ತೊರಸ್ತಿದೆ.,Not-Hope
6718,ಸಾಂಗ್ ಸಂಗೀತ ಲಿರಿಕ್ಸ್ ಡಾನ್ಸ್ ವಾಯ್ಸ್ ಹಿಟ್ ಸಾಂಗ್ ಲವ್ ಯು ವಿಜಯ್ ಪ್ರಕಾಶ್  ಸರ್..... Your voice is verry attractive......,Hope
5558,ಸೂಪರ್  ಬ್ರದರ್,Hope
19,Super bro,Hope
0,Bro super,Hope
2666,Idu charitre srutsiro song,Not-Hope
1747,Please support prajakiya,Not-Hope
5626,@king k 9880823640.....ಇದು ನನ್ನ ಫೋನ್ ನಂಬರ್....ನಿನ್ನ ಎಲ್ಲ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವೆ,Not-Hope
7438,Burade guru idhella. Solpa nambo thara kathe  katti.,Not-Hope
3474,@Rajesh Rao en maadodu asht bejaar aagide....ond olle cinema hesr maadlilvalla anta...bejar maadkobedi,Hope
4058,@Abhilash Gowda neen anbeda bidolo,Not-Hope
574,jai d boss,Not-Hope
5674,Super age ede,Not-Hope
4277,ತೊಗರಿತಿಪ್ಪನ  ದ್ರಟ್ಸಾಂತ  ಕೆಳಿದರೆ   ಸಂತೊಷವೆ  ಸಂತೊಷ,Hope
5977,Super sir,Hope
2257,Nan yavathu youtube video na like kuda madila but comment madidini so.....,Not-Hope
4649,Give link to that pandi kokku song ....,Not-Hope
5503,Guru sakathage helde....nin superb. ...superb ashte,Hope
1087,@Nandi Parthasarathi ನಿನ್ ammun,Not-Hope
1985,En song guruve I love this song K G F bitre ede super movie guru.......super,Hope
6732,@tej bangalore yavano ninu le,Not-Hope
2241,@Troll Stupid Fans nin Amman thullu sulemagne gaandu nayi sulemakla mucchkondiro Nim Amman thullu GE devegowda du halasiro thunni hakbeku rande soole magne nayisulemagne kachada byavarsi soole rande magne nayisulemaga nim appa chaappar nan maga sulemaga,Not-Hope
2779,S bro Niv helid nija,Not-Hope
4870,@Krishna Tirividi yes support all kannada cinema,Not-Hope
5979,Namganthu tik tok ban aagiddu tumba kushi,Not-Hope
7029,Haaa nivu super bro i am big fan your voice  ....,Hope
5708,Dislike madiroru pakka Rashmikha Kadeyavare,Not-Hope
7439,ಕೇಳಲು ಇಷ್ಟ ಆದರೆ ಇದು ನಿಜ ಅಲ್ಲ ಅನಿಸುತ್ತೆ...ನನ್ನ ಪ್ರಕಾರ,Hope
6466,Nikistark x promotion chennagi idrunu bere language ge jaathi priority kodtare....nam state li kannada movie ge support madalla distributors..,Hope
5043,tugari thjppa super,Hope
4408,ನಮ್ಮ ದೇಶದಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷಗಳ ಕಿತ್ತಾಟ ಜಾಸ್ತಿ. ದೇಶಕ್ಕೆ ಅವಶ್ಯಕತೆ ಇರುವ ಅಭಿವೃದ್ಧಿ ಕೆಲಸ ಮಾಡಲೂ ಹೊರಟಾಗ ಇದರಲ್ಲಿ ಏನು ಭ್ರಷ್ಟಾಚಾರ ಇದೆ ಅನ್ನೊಂದು.... ಹಾಗೇಯೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ದೇಶದ ಅಭಿವೃದ್ಧಿಗಿಂತ  ವೈಯಕ್ತಿಕ ಅಭಿವೃದ್ಧಿ ಮಾಡಿಕೊಳ್ಳುವ ವರೆ ಜಾಸ್ತಿ( ಭ್ರಷ್ಟಾಚಾರ) ಮಿತಿ ಮೀರಿದೆ.. ತಂತ್ರಜ್ಞಾನದ ಕೊರತೆ ಕೂಡ ಇದೆ. ಮೊದಲು ನಮ್ಮಲ್ಲಿ ಇರುವ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಿಕೊಡರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿಯೇ ನಮಗೆ ಬೇಕಾದ ಅಗತ್ಯ ವಸ್ತುಗಳ ತಯಾರಿಕಾ ಕಂಪನಿಗಳು ಸ್ಥಾಪಿಸಬಹುದು....nಧನ್ಯವಾದಗಳು ಅಣ್ಣ,Not-Hope
6822,1.3k unlikes madiruvavru rashmika fans irbahoda 🤔 super song shetre slow poison song,Not-Hope
6522,ನಮ್ಮ ಬಾಸ್ ವಿಷ್ಣುವರ್ಧನ್ ಅವರಿಗೆ ಒಂದು ದಿನ ಪರಸ್ಥಿತಿ ಬಂದಿತ್ತು ಅವರ ಚಿತ್ರಗಳ ಸತತವಾಗಿ ಸೋಲುನ್ನು ಕಂಡವು ಮನೆಯಲ್ಲಿ ಹೇಳಿದರಂತೆ ನನಗೆ ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ನಾನು ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ಡ್ರೈವಿಂರಾಗಿ ಸೇರುತ್ತೇನೆ ಅಂದರು,Not-Hope
6966,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಕಮೆಂಟು..,Hope
5444,3 days n1.6M viewsn 5.6 commentsnTrending no.1n.🤔🤔🤔,Not-Hope
751,Shetru birthday party dina haadiro haadu aawaginindaa wait maadtide.....,Not-Hope
1515,Karnataka janeteinda all the best movie ge olledagali🥰🥰,Hope
1588,@naveen v nin Amman thullu sulemagne,Not-Hope
4024,Good job shivu,Not-Hope
1716,VPN hakondu tiktok use madtidare nam soldier sattirodu lekkka ellla janakkke,Not-Hope
4212,ಕಣ್ಣೀರು ಹಾಕಿರುವ ಕಾರಣ ತಂದೆಯ ನೆನೆಪು ಅವರು ಕಷ್ಟ ಕಾಲದಲ್ಲಿ ಮಗನ ಬೆಂಗಾವಲಾಗಿ ನಿಂತಿದ್ದಕ್ಕೆ.ಇದನ್ನು ಕೆಲವರು ಅಪಾರ್ಥ ಕಲ್ಪಿಸಿಕೊಂಡಿದ್ದಾರೆ.,Hope
5911,@Reginald Kelly Kannada da bagge sumne matadidre(includes people too) adu namgu naatutte,Not-Hope
966,Spr song bro,Hope
3336,@Nandi Parthasarathi hahaha,Hope
6336,@Sudeep K N ಹೌದು ಹುಲಿಯ ಜೈ ಹುಚ್ಚಾ ವೆಂಕಟ ಸೇನೆ.......,Not-Hope
2296,@Vijay Prasad yen yogyathey. Chappar. 3000 gintha hechchu cinema nodidheeni naanu. Nann abipraya kotrey yeno boli magane muddhey thinna louda. nThooo!!,Not-Hope
5564,Well msg guru,Not-Hope
5047,Bapu Biradar t,Hope
1853,ಮಧ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಕೂಡ ಓರ್ವ ಮಹಿಳೆಗೆ  ಮಹಾಭಾರತದ ಅಶ್ವತ್ಥಾಮ ಎಂದು ಪರಿಚಯ ಮಾಡಿಕೊಂಡು ಮತ್ತು ಅವಳಿಗೆ ಮಹಾಭಾರತದ ಸನ್ನಿವೇಶಗಳ ವಿಡಿಯೋವನ್ನು ಆ ಮಹಿಳೆಯ ಮನೆ ಗೋಡೆ ಮೇಲೆ ಮಹಾಭಾರತದ ದೃಶ್ಯಗಳನ್ನು ಬರುವ ಹಾಗೆ ಮಾಡಿದ್ದನಂತೆ ಹಾಗೂ ಅವಳಲ್ಲಿ ನೀನು ಯಾರಿಗೆ ಹೇಳದೇ   nಈ ದೃಶ್ಯ ನೋಡಬಹುದು. n     ಇಲ್ಲವಾದಲ್ಲಿ ಹೇಳಿದರೆ ಈ ದೃಶ್ಯ ಕಾಣುವುದಿಲ್ಲ. nಆದ್ದರಿಂದ ನೀನು ನನ್ನ ಮಾತಿನಂತೆ ನಡೆಯಬೇಕು ಎಂದು ವಚನ ತೆಗೆದುಕೊಂಡು ಅಲ್ಲಿಂದ ಅದೃಶ್ಯವಾಗಿದ್ದಾನಂತೆ. .....!,Hope
6279,En guru edu song super,Hope
3806,Hahah baari guru,Hope
4121,ದರ್ಶನ್ ಸರ್ ನಾವು ನಿಮ್ಮ ಅಭಿಮಾನಿಗಳು ನಮ್ಮ ಕಲಾವಿದರು ಈ ರೀತಿ ಕಷ್ಟ ಪಡೋದು ನಮಗೆ ಮನಸ್ಸಿಗೆ ತುಂಬಾ ನೋವಾಗುತ್ತೆ ನೀವು ದಯವಿಟ್ಟು ಇಂಥ ಮಹಾನ್ ಕಲಾವಿದರನ್ನು ತಮ್ಮ ಜೊತೆ ಕರೆದುಕೊಂಡು ನಡೆಯಿರಿ ಅಭಿಮಾನಿ ಅಭಿಮಾನಿಗಳಿಗೆ ಕೊಡುವ ದೊಡ್ಡ ಉಡುಗೊರೆ ನಿಮ್ಮಿಂದ ನಾವು ನಾ ಬಯಸುತ್ತೇವೆ,Hope
1152,Hands up 🤗,Not-Hope
5771,Namm uttar karnataka style..... nMastha Mastha huliii,Not-Hope
2068,Why does it sound like 'swag se karenge sab ka swagat'? Otherwise it's awesome,Not-Hope
2622,E song super and handsome step super annowru like madi,Not-Hope
5146,ಹೌದು. ನಾವು ಸಣ್ಣವರಿದ್ದಾಗ.ಕೆಳಿದ್ದಿವಿ.ಸುಪರ್,Not-Hope
6285,Dislikers==Dagar Rashmika fan,Not-Hope
1895,Illa guru.. Ashwatama na.. Bhaashe ivrige. Barutte ansutte....,Not-Hope
6482,Super nivheliddu nija,Hope
996,Chinndikanna neenu neenu nam tharane madthadthiya. Super,Not-Hope
4981,ನಾನು ತುಂಬಾ ಚಿಕ್ಕವನಿದ್ದಾಗಲೂ ನಾನು ಶಂಭು ಬಳಿಗಾರ ರವರ ಅಭಿಮಾನಿ...ಈಗಲೂ ಇವರ ಧ್ವನಿಯಲ್ಲಿ ಕಥೆ ಕೇಳಿ...25 ವರ್ಷಗಳ ಹಿಂದೆ ಕರೆದೊಯ್ದು.. ಬಿಟ್ಟರು ನಮ್ಮನ್ನು,Hope
4458,ಸರ್ ನೀವು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಅರ್ಥ ಮಾಡ್ಸಿದಿರಿ ಆದ್ರೆ ನೀವು ಬರಿ ರಾಜಕೀಯದ್ದೇ 24 ಗಂಟೆ ತೋರಿಸ್ಥಿರೀ....ಅವರನ್ನ ಬಿಟ್ಟು ನಮ್ಮ್ ದೇಶದ  ರೈತರ ಬಗ್ಗೆ ಯೋಧರ ಬಗ್ಗೆ  ತಂತ್ರಜ್ಞಾನ ಮುಖಾಂತರ ನಮ್ಮ್ ದೇಶ ಉತ್ತಮ ಗೊಳ್ಳಬೇಕು ಅದನ್ನ ದಿನಾಲು ತೋರ್ಸಿ  ಆಗ ಮಾತ್ರ ನಮ್ ಜನಗಳು ಬಾದ್ಲ್ಆಗ್ತಾರೆ...,Not-Hope
3220,Anna thamma janpada super,Hope
2394,Diya na Rakshit shetti  na belsona,Not-Hope
4043,Song lyrics in kannada n,Not-Hope
1446,@Mr goodboy Swami,Not-Hope
6120,No.. 1 sec saku summe mnt ella waste madtara,Not-Hope
6709,ಸಿನಿಮಾ ಅದ್ಭುತ,Hope
3679,Marethidhru iga merili,Not-Hope
2919,ಬಹಳ ಕ್ಯೂರಿಯಾಸಿಟಿ ಇರೋ ಹಾಗಿದೆ ಚಿತ್ರವನ್ನು ನೋಡಲು ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೆನೇ,Hope
1552,ಕಲರ್ ಫುಲ್ ಆಗಿದೆ,Hope
2475,Super guru Ella record break made madtira guru nivu i love sir,Hope
249,ಕನ್ನಡವನ್ನು ಇನ್ನೊಂದು ಹಂತಕ್ಕೆ ಕೊಂಡೊಯ್ಯುವುದರಲ್ಲಿ ಸಂದೇಹವೇ ಇಲ್ಲ...nರಶ್ಮಿಕ ಕಕ್ಕ ಅವರೇ ನೋಡಿ ಉರ್ಕೊಳ್ಳಿ,Hope
1923,@Manjunath mtr tq bro,Not-Hope
7009,Super comment guru,Not-Hope
785,Super song amazing lyrics,Hope
2599,Super agi akidya guru step Nange eshta aithu dance nimge eshta aitha friends n,Not-Hope
1824,Raktha rathri yakshagana nodi maryare,Not-Hope
1042,ನಿಮ್ಮ ಅವ್ವ ರಂಡಿ,Not-Hope
4565,@vyv v even Producer for KP,Not-Hope
2920,FROM KING K-I-C-H-H-A -B-O-S-S BADSHAHA FANS ALL D BEST,Not-Hope
7507,LOVE FROM KICCHA FANS🥰,Not-Hope
2295,@satishnithyanandam nin yogyathege meeri mathgal aadbardu.,Not-Hope
140,Different ಮ್ಯೂಸಿಕ್ ಸರ್.nಅಜನಿಶ್ ಸರ್ ಗೆ ಧನ್ಯವಾದಗಳು..,Hope
198,Good song good making,Not-Hope
6776,ಈಗ ಮಾತನಾಡಿ ಬೇರೆ ಭಾಷೆ ಅವರು,Not-Hope
